epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78535,1.22616,3.01718,1.72209,0.0035,1,0.2001,0.09506,1.13871,3.09667,1.7026,0.00023338,0.00023338,0.00023338
2,4.96899,1.09051,2.68772,1.5672,0.00369,1,0.52495,0.2754,1.08587,3.06612,1.71631,0.000473858,0.000473858,0.000473858
3,7.21367,1.20543,2.25203,1.69944,0.00362,1,0.60556,0.32188,1.21719,2.85451,1.81891,0.000704434,0.000704434,0.000704434
4,9.405,1.32651,2.00009,1.77795,0.00371,1,0.38515,0.16005,1.59137,2.81702,2.22691,0.000925108,0.000925108,0.000925108
5,11.5265,1.28744,1.89081,1.69623,0.00374,0.95455,0.44722,0.17181,1.75524,2.77208,2.52332,0.00113588,0.00113588,0.00113588
6,13.6526,1.25653,1.79922,1.70291,1,0.13034,0.67596,0.24795,1.4253,2.62149,2.18241,0.00133675,0.00133675,0.00133675
7,15.7235,1.26441,1.75796,1.68203,0.91232,0.1,0.29208,0.13445,1.44297,2.76606,2.19527,0.00146896,0.00146896,0.00146896
8,17.8042,1.27227,1.66033,1.6579,0.55482,0.23026,0.45957,0.17201,1.57147,2.5762,2.29244,0.00143595,0.00143595,0.00143595
9,19.9681,1.17258,1.60732,1.62356,0.55715,0.36666,0.47643,0.24391,1.54279,2.52463,2.31215,0.00140295,0.00140295,0.00140295
10,22.1306,1.17652,1.50245,1.62318,0.48084,0.67273,0.54711,0.21968,1.86529,2.30497,2.78248,0.00136994,0.00136994,0.00136994
11,24.2542,1.24961,1.49682,1.65612,0.66452,0.58381,0.60623,0.24627,1.76462,2.23539,2.56673,0.00133693,0.00133693,0.00133693
12,26.3896,1.19984,1.4078,1.61153,0.66257,0.63911,0.7448,0.38491,1.40138,2.11008,2.08013,0.00130393,0.00130393,0.00130393
13,28.5308,1.18932,1.34427,1.60674,0.60762,0.74168,0.67312,0.29598,1.96313,1.93233,2.78079,0.00127092,0.00127092,0.00127092
14,30.6501,1.19722,1.34801,1.60602,0.59475,0.72273,0.74598,0.36041,1.73388,1.76792,2.49045,0.00123791,0.00123791,0.00123791
15,32.7939,1.16149,1.28748,1.54912,0.62517,0.56818,0.60746,0.32007,1.56036,1.9046,2.15549,0.00120491,0.00120491,0.00120491
16,34.9018,1.13954,1.24662,1.54884,0.71434,0.78646,0.85385,0.37928,1.64113,1.62297,2.34205,0.0011719,0.0011719,0.0011719
17,37.0336,1.15896,1.27405,1.55641,0.58382,0.58182,0.62267,0.30985,1.67201,1.71858,2.1563,0.00113889,0.00113889,0.00113889
18,39.1541,1.10739,1.14195,1.51265,0.89834,0.8253,0.91353,0.48803,1.56603,1.36687,2.13316,0.00110589,0.00110589,0.00110589
19,41.3263,1.13976,1.15803,1.5597,0.68699,0.8442,0.86288,0.43026,1.691,1.45778,2.29994,0.00107288,0.00107288,0.00107288
20,43.411,1.08272,1.10741,1.51978,0.82997,0.93781,0.88836,0.53867,1.52294,1.14417,2.26615,0.00103987,0.00103987,0.00103987
21,45.5171,1.08661,1.08511,1.50854,0.89993,0.85909,0.94691,0.5851,1.31006,1.25862,1.87838,0.00100687,0.00100687,0.00100687
22,47.6439,1.09618,1.06922,1.50851,0.91875,0.80909,0.92329,0.47786,1.62464,1.1667,2.21343,0.000973861,0.000973861,0.000973861
23,49.6881,1.03915,1.05208,1.47129,0.85103,0.89799,0.90746,0.41562,1.58755,1.26854,2.21229,0.000940855,0.000940855,0.000940855
24,51.7436,1.05504,1.02886,1.48975,0.89838,0.94551,0.95664,0.46846,1.43389,1.15179,2.11396,0.000907848,0.000907848,0.000907848
25,53.7997,1.048,1.01434,1.4846,0.94573,0.74988,0.93707,0.48106,1.55279,1.08157,2.08785,0.000874842,0.000874842,0.000874842
26,55.8564,1.02135,1.01195,1.46611,1,0.97843,0.995,0.58096,1.45158,0.90266,2.01441,0.000841835,0.000841835,0.000841835
27,57.9159,0.97737,0.94379,1.43234,0.96232,0.79442,0.95537,0.56907,1.36136,0.98748,1.94946,0.000808828,0.000808828,0.000808828
28,59.9974,0.97671,0.93082,1.40787,0.98131,0.85909,0.9531,0.53706,1.44883,1.03361,1.96375,0.000775822,0.000775822,0.000775822
29,62.0415,0.97232,0.9149,1.40463,0.88023,0.97348,0.98127,0.53989,1.38061,0.95135,1.96897,0.000742815,0.000742815,0.000742815
30,64.1293,0.95999,0.86349,1.43571,0.96473,0.95064,0.983,0.53602,1.4031,0.84035,2.0618,0.000709809,0.000709809,0.000709809
31,66.1973,0.93565,0.84281,1.39398,0.81644,0.90909,0.93615,0.6099,1.2953,0.98191,1.9356,0.000676802,0.000676802,0.000676802
32,68.3171,0.97425,0.87748,1.38,0.93437,0.95,0.97542,0.53431,1.48214,0.86416,2.16531,0.000643795,0.000643795,0.000643795
33,70.4483,0.91608,0.82352,1.3661,0.94332,1,0.98375,0.58888,1.26738,0.8357,1.88789,0.000610789,0.000610789,0.000610789
34,72.6004,0.88453,0.81963,1.3563,0.97194,0.93154,0.98808,0.54613,1.3838,0.81356,2.0385,0.000577782,0.000577782,0.000577782
35,74.7434,0.90923,0.81923,1.34648,0.96308,0.89737,0.96633,0.59195,1.23962,0.95159,1.82679,0.000544776,0.000544776,0.000544776
36,76.9102,0.89767,0.82505,1.35635,0.96824,0.89203,0.95725,0.52112,1.47653,0.9787,2.11976,0.000511769,0.000511769,0.000511769
37,79.0462,0.81459,0.78134,1.29043,1,0.88326,0.98094,0.65558,1.16783,0.82548,1.80393,0.000478762,0.000478762,0.000478762
38,81.1981,0.872,0.74618,1.32801,0.94133,0.87416,0.96539,0.63985,1.128,0.79657,1.78504,0.000445756,0.000445756,0.000445756
39,83.3812,0.82201,0.73067,1.29341,1,0.9258,0.99045,0.67716,1.05816,0.76292,1.6814,0.000412749,0.000412749,0.000412749
40,85.5389,0.83247,0.71971,1.30651,0.93728,0.85909,0.95903,0.62539,1.09265,0.82835,1.69614,0.000379743,0.000379743,0.000379743
41,88.5863,0.7273,0.94528,1.37329,0.91417,0.93092,0.962,0.58937,1.25952,0.88418,1.88556,0.000346736,0.000346736,0.000346736
42,90.7476,0.65861,0.73802,1.30678,0.97221,0.95,0.97833,0.59108,1.32695,0.96174,1.96792,0.000313729,0.000313729,0.000313729
43,92.8555,0.65533,0.70842,1.30573,0.93615,0.90455,0.96732,0.65232,1.10992,0.96258,1.715,0.000280723,0.000280723,0.000280723
44,94.9667,0.68915,0.66609,1.35271,0.97283,0.81364,0.93952,0.59742,1.25558,0.96549,1.90067,0.000247716,0.000247716,0.000247716
45,97.0623,0.64435,0.65541,1.33495,0.91985,0.90455,0.94384,0.57895,1.26925,0.94647,1.92896,0.00021471,0.00021471,0.00021471
46,99.1739,0.66779,0.62424,1.30404,0.92796,0.95,0.94531,0.60675,1.183,0.87316,1.86018,0.000181703,0.000181703,0.000181703
47,101.294,0.61276,0.59419,1.28303,0.93368,0.95,0.95363,0.64632,1.0737,0.88251,1.69971,0.000148696,0.000148696,0.000148696
48,103.393,0.58856,0.58435,1.24275,0.95369,0.95,0.97625,0.67436,1.05748,0.816,1.65678,0.00011569,0.00011569,0.00011569
49,105.472,0.60057,0.58263,1.26118,0.97884,0.95,0.98346,0.69193,1.0546,0.78908,1.65404,8.26832e-05,8.26832e-05,8.26832e-05
50,107.627,0.59507,0.56592,1.22274,0.99135,0.94293,0.98667,0.68785,1.04923,0.77732,1.65227,4.96766e-05,4.96766e-05,4.96766e-05
